species,number,location,date_feather_collected,date_oiled,study_type,treatment,length,pre_weight,post_weight,weight_change,perc_weight_change,time
manx_shearwater,137,great_blasket,09/07/2015,29/06/2021,percolation_&_photo,1,4.0,0.0083,0.0086,0.0003,3.61,33.15
manx_shearwater,138,great_blasket,07/07/2015,29/06/2021,percolation_&_photo,2,4.4,0.0090,0.0165,0.0075,83.33,95.94
manx_shearwater,139,great_blasket,02/07/2015,29/06/2021,percolation_&_photo,3,3.8,0.0059,0.0402,0.0343,581.36,532.74
manx_shearwater,140,great_blasket,03/07/2015,29/06/2021,percolation_&_photo,4,5.0,0.0091,0.0555,0.0464,509.89,182.79
manx_shearwater,151,great_blasket,16/07/2014,29/06/2021,photo,0,4.0,0.0062,0.0062,0.0000,0.00,
manx_shearwater,152,great_blasket,20/07/2014,29/06/2021,photo,1,3.9,0.0067,0.0069,0.0002,2.99,
manx_shearwater,153,great_blasket,19/07/2014,29/06/2021,photo,2,4.4,0.0076,0.0129,0.0053,69.74,
manx_shearwater,154,great_blasket,16/07/2014,29/06/2021,photo,3,3.9,0.0075,0.0447,0.0372,496.00,
manx_shearwater,155,high_island,31/07/2014,29/06/2021,photo,4,4.0,0.0089,0.0813,0.0724,813.48,
manx_shearwater,156,great_blasket,16/07/2014,29/06/2021,photo,0,4.0,0.0071,0.0071,0.0000,0.00,
manx_shearwater,157,high_island,27/07/2014,29/06/2021,photo,1,4.1,0.0079,0.0083,0.0004,5.06,
manx_shearwater,158,high_island,27/07/2014,29/06/2021,photo,2,4.1,0.0073,0.0132,0.0059,80.82,
manx_shearwater,159,high_island,26/07/2014,29/06/2021,photo,3,4.0,0.0074,0.0473,0.0399,539.19,
manx_shearwater,160,high_island,26/07/2014,29/06/2021,photo,4,3.9,0.0083,0.0768,0.0685,825.30,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
